node_id,x,y
154786131,-82.4849943,38.4120194
154786139,-82.4840044,38.4097496
154786141,-82.4837466,38.4090902
154786143,-82.4833117,38.4080766
154786145,-82.4828779,38.407062
154786149,-82.4824378,38.4060452
154786155,-82.3978055,38.4028259
154786208,-82.4015587,38.3986458
154786214,-82.4012576,38.397735
154786227,-82.4011758,38.3970003
154786233,-82.4303477,38.4087417
154786240,-82.4300914,38.4063762
154786291,-82.3934155,38.4154357
154786295,-82.3991335,38.4141828
154786385,-82.4102658,38.3987834
154786391,-82.4098514,38.3986069
154786393,-82.4094826,38.3984639
154786395,-82.4091554,38.3982926
154786408,-82.407073,38.3970653
154786412,-82.4069995,38.3968143
154786449,-82.4060152,38.400195
154786462,-82.4083876,38.4004882
154786466,-82.4087195,38.4003757
154786477,-82.4686729,38.3987587
154786502,-82.4647139,38.3997825
154786520,-82.4604989,38.3981365
154786546,-82.4063196,38.3989642
154786722,-82.4158515,38.4020332
154786735,-82.4133609,38.4016003
154786739,-82.4117243,38.4013558
154786743,-82.4115055,38.4108656
154786745,-82.4105366,38.4103241
154787034,-82.4538884,38.4116231
154787035,-82.4521476,38.4119238
154787037,-82.4504064,38.4122297
154787039,-82.4487059,38.4125239
154787042,-82.4453001,38.4131171
154787044,-82.4435921,38.4134148
154787046,-82.4418938,38.4137142
154787048,-82.4401863,38.4140091
154787050,-82.4384837,38.4143074
154787052,-82.4374774,38.4144838
154787054,-82.4367108,38.4146147
154787058,-82.4350062,38.4149121
154787060,-82.4333254,38.4151992
154787069,-82.4332383,38.4152491
154787071,-82.432132,38.4154691
154787083,-82.429892,38.4158183
154787086,-82.4282612,38.4160887
154787088,-82.4260888,38.4164655
154787090,-82.4243639,38.4167627
154787094,-82.4209607,38.4173547
154787097,-82.4192544,38.4176517
154787099,-82.4175477,38.4179485
154787101,-82.4158094,38.4182539
154787103,-82.4140722,38.418555
